"value_n","timestamp","key"
40.52264,2020-04-08 14:51:27,HouseAir_5Min_KMAnamoly
31.340805,2020-04-08 14:51:28,HouseAir_5Min_KMAnamoly
40.971462,2020-04-08 14:51:28,HouseAir_5Min_KMAnamoly
42.85319,2020-04-08 14:51:29,HouseAir_5Min_KMAnamoly
30.037033,2020-04-08 14:51:29,HouseAir_5Min_KMAnamoly
34.783623,2020-04-08 14:51:31,HouseAir_5Min_KMAnamoly
41.82285,2020-04-08 14:51:32,HouseAir_5Min_KMAnamoly
36.956444,2020-04-08 14:51:33,HouseAir_5Min_KMAnamoly
24.571516,2020-04-08 14:51:33,HouseAir_5Min_KMAnamoly
25.66029,2020-04-08 14:51:33,HouseAir_5Min_KMAnamoly
35.845444,2020-04-08 14:51:33,HouseAir_5Min_KMAnamoly
23.797167,2020-04-08 14:51:37,HouseAir_5Min_KMAnamoly
5.451919,2020-04-08 14:51:38,HouseAir_5Min_KMAnamoly
0,2020-04-08 14:50:06,HouseAir_5Min_KMAnamoly
0,2020-04-08 14:51:06,HouseAir_5Min_KMAnamoly
60.70178,2020-04-08 14:51:44,HouseAir_5Min_KMAnamoly
19.70708,2020-04-08 14:51:45,HouseAir_5Min_KMAnamoly
33.152542,2020-04-08 14:51:45,HouseAir_5Min_KMAnamoly
32.44342,2020-04-08 14:51:46,HouseAir_5Min_KMAnamoly
40.016064,2020-04-08 14:51:46,HouseAir_5Min_KMAnamoly
28.31473,2020-04-08 14:51:46,HouseAir_5Min_KMAnamoly
19.606659,2020-04-08 14:51:47,HouseAir_5Min_KMAnamoly
38.557312,2020-04-08 14:51:47,HouseAir_5Min_KMAnamoly
38.19003,2020-04-08 14:51:48,HouseAir_5Min_KMAnamoly
56.268646,2020-04-08 14:51:48,HouseAir_5Min_KMAnamoly
31.718468,2020-04-08 14:51:48,HouseAir_5Min_KMAnamoly
34.233784,2020-04-08 14:51:49,HouseAir_5Min_KMAnamoly
42.6856,2020-04-08 14:51:49,HouseAir_5Min_KMAnamoly
35.649807,2020-04-08 14:51:49,HouseAir_5Min_KMAnamoly
43.943058,2020-04-08 14:51:49,HouseAir_5Min_KMAnamoly
181.19455,2020-04-08 14:51:50,HouseAir_5Min_KMAnamoly
179.34206,2020-04-08 14:51:50,HouseAir_5Min_KMAnamoly
76.577156,2020-04-08 14:51:50,HouseAir_5Min_KMAnamoly
69.15682,2020-04-08 14:51:51,HouseAir_5Min_KMAnamoly
90.330666,2020-04-08 14:51:51,HouseAir_5Min_KMAnamoly
98.326775,2020-04-08 14:51:51,HouseAir_5Min_KMAnamoly
79.96897,2020-04-08 14:51:52,HouseAir_5Min_KMAnamoly
56.66197,2020-04-08 14:51:52,HouseAir_5Min_KMAnamoly
49.63775,2020-04-08 14:51:52,HouseAir_5Min_KMAnamoly
24.872429,2020-04-08 14:51:52,HouseAir_5Min_KMAnamoly
33.294987,2020-04-08 14:51:53,HouseAir_5Min_KMAnamoly
30.752718,2020-04-08 14:52:07,HouseAir_5Min_KMAnamoly
30.071953,2020-04-08 14:52:07,HouseAir_5Min_KMAnamoly
34.76717,2020-04-08 14:52:08,HouseAir_5Min_KMAnamoly
29.286646,2020-04-08 14:52:11,HouseAir_5Min_KMAnamoly
37.71778,2020-04-08 14:52:12,HouseAir_5Min_KMAnamoly
14.947605,2020-04-08 14:52:12,HouseAir_5Min_KMAnamoly
15.644905,2020-04-08 14:52:13,HouseAir_5Min_KMAnamoly
24.945911,2020-04-08 14:52:15,HouseAir_5Min_KMAnamoly
16.483854,2020-04-08 14:52:17,HouseAir_5Min_KMAnamoly
38.0177,2020-04-08 14:52:17,HouseAir_5Min_KMAnamoly
36.88434,2020-04-08 14:52:20,HouseAir_5Min_KMAnamoly
42.476162,2020-04-08 14:52:20,HouseAir_5Min_KMAnamoly
34.457962,2020-04-08 14:52:21,HouseAir_5Min_KMAnamoly
37.812725,2020-04-08 14:52:21,HouseAir_5Min_KMAnamoly
34.594013,2020-04-08 14:52:21,HouseAir_5Min_KMAnamoly
23.274498,2020-04-08 14:52:22,HouseAir_5Min_KMAnamoly
26.770119,2020-04-08 14:52:22,HouseAir_5Min_KMAnamoly
36.33349,2020-04-08 14:52:22,HouseAir_5Min_KMAnamoly
27.815262,2020-04-08 14:52:23,HouseAir_5Min_KMAnamoly
19.806026,2020-04-08 14:52:23,HouseAir_5Min_KMAnamoly
31.444048,2020-04-08 14:52:23,HouseAir_5Min_KMAnamoly
75.86073,2020-04-08 14:52:30,HouseAir_5Min_KMAnamoly
24.206093,2020-04-08 14:52:30,HouseAir_5Min_KMAnamoly
40.57446,2020-04-08 14:52:30,HouseAir_5Min_KMAnamoly
65.00835,2020-04-08 14:52:31,HouseAir_5Min_KMAnamoly
53.674725,2020-04-08 14:52:31,HouseAir_5Min_KMAnamoly
51.347244,2020-04-08 14:52:31,HouseAir_5Min_KMAnamoly
43.10225,2020-04-08 14:52:31,HouseAir_5Min_KMAnamoly
30.313284,2020-04-08 14:52:32,HouseAir_5Min_KMAnamoly
58.407738,2020-04-08 14:52:32,HouseAir_5Min_KMAnamoly
71.748566,2020-04-08 14:52:32,HouseAir_5Min_KMAnamoly
137.01442,2020-04-08 14:52:32,HouseAir_5Min_KMAnamoly
71.55541,2020-04-08 14:52:33,HouseAir_5Min_KMAnamoly
49.94819,2020-04-08 14:52:33,HouseAir_5Min_KMAnamoly
35.705906,2020-04-08 14:52:33,HouseAir_5Min_KMAnamoly
56.51456,2020-04-08 14:52:34,HouseAir_5Min_KMAnamoly
59.575214,2020-04-08 14:52:34,HouseAir_5Min_KMAnamoly
56.166866,2020-04-08 14:52:35,HouseAir_5Min_KMAnamoly
54.314808,2020-04-08 14:52:35,HouseAir_5Min_KMAnamoly
63.139465,2020-04-08 14:52:35,HouseAir_5Min_KMAnamoly
35.729923,2020-04-08 14:52:35,HouseAir_5Min_KMAnamoly
36.37562,2020-04-08 14:52:36,HouseAir_5Min_KMAnamoly
48.51701,2020-04-08 14:52:36,HouseAir_5Min_KMAnamoly
28.103983,2020-04-08 14:52:54,HouseAir_5Min_KMAnamoly
21.590805,2020-04-08 14:52:54,HouseAir_5Min_KMAnamoly
29.84359,2020-04-08 14:52:55,HouseAir_5Min_KMAnamoly
54.86498,2020-04-08 14:52:56,HouseAir_5Min_KMAnamoly
47.973526,2020-04-08 14:52:57,HouseAir_5Min_KMAnamoly
41.978367,2020-04-08 14:52:57,HouseAir_5Min_KMAnamoly
27.652039,2020-04-08 14:52:57,HouseAir_5Min_KMAnamoly
25.583952,2020-04-08 14:52:58,HouseAir_5Min_KMAnamoly
37.724964,2020-04-08 14:53:00,HouseAir_5Min_KMAnamoly
47.87899,2020-04-08 14:53:01,HouseAir_5Min_KMAnamoly
35.24553,2020-04-08 14:53:01,HouseAir_5Min_KMAnamoly
36.754787,2020-04-08 14:53:03,HouseAir_5Min_KMAnamoly
32.691536,2020-04-08 14:53:04,HouseAir_5Min_KMAnamoly
32.06421,2020-04-08 14:53:04,HouseAir_5Min_KMAnamoly
