datetime,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
28/05/2020 08:15,87,32.73486328,47.19384766,45.72265625,810.8046875,924.5546875,382.1015625,677.796875,563.7578125
28/05/2020 08:20,88,33.57910156,49.44189453,46.28955078,832.0859375,944.203125,389.5625,676.5390625,575.8359375
28/05/2020 08:25,89,34.49755859,51.61181641,46.59375,850.6640625,962.0390625,392.9882813,682.2890625,576.109375
28/05/2020 08:30,90,35.55957031,53.2734375,45.52783203,866.8984375,979.0546875,394.1328125,691.8671875,570.5859375
28/05/2020 08:35,91,36.54833984,54.02685547,44.90673828,881.75,994.78125,393.9492188,700.765625,563.0078125
28/05/2020 08:40,92,37.36279297,54.11279297,44.54492188,895.1015625,1008.453125,393.84375,705.390625,559.7890625
28/05/2020 08:45,93,38.06005859,53.61376953,44.47705078,906.921875,1019.359375,394.0507813,706.9609375,558.421875
28/05/2020 08:50,94,38.68701172,53.29833984,44.64306641,917.75,1028.28125,394.1679688,707.2578125,558.109375
28/05/2020 08:55,95,39.41845703,53.15478516,45.04296875,927.9453125,1035.875,394.2851563,704.71875,558.7109375
28/05/2020 09:00,96,39.90869141,53.47167969,45.50341797,937.5390625,1041.5,394.0078125,701.375,560.46875
28/05/2020 09:05,97,40.50244141,53.828125,45.9140625,946.28125,1044.734375,393.6914063,697.0546875,562.9375
28/05/2020 09:10,98,41.15527344,54.34912109,46.41162109,954.203125,1045.984375,393.4804688,693.2265625,567.59375
28/05/2020 09:15,99,41.68945313,54.69873047,47.02050781,961.5078125,1047.765625,393.4414063,689.5234375,570.875
28/05/2020 09:20,100,42.15087891,54.68212891,48.10986328,967.828125,1049.875,393.5,687.2265625,573.40625
28/05/2020 09:25,101,42.48681641,54.35742188,49.10986328,973.203125,1052.71875,393.5546875,686.2265625,573.859375
28/05/2020 09:30,102,42.81982422,54.02441406,49.80029297,977.671875,1055.09375,393.4726563,684.15625,575.15625
28/05/2020 09:35,103,43.14746094,54,50.13671875,981.9453125,1056.953125,393.5429688,682.2890625,576.1640625
28/05/2020 09:40,104,43.49169922,54,50.47021484,984.84375,1056.484375,393.4453125,681.09375,577.0625
28/05/2020 09:45,105,43.82519531,54,50.84375,987.609375,1056.8125,393.21875,681.9296875,576.890625
28/05/2020 09:50,106,44.21191406,54,50.99951172,989.8125,1059.65625,393.2929688,681.3515625,576.4609375
28/05/2020 09:55,107,44.54541016,54,51,992.140625,1064.296875,392.9765625,680.9375,576.59375
28/05/2020 10:00,108,44.87890625,54.14648438,51.17138672,993.6484375,1067.65625,393.2929688,680.3203125,577.3359375
