"houseair","rcv_timestamp_utc"
98.468228,2020-04-08 14:49:54
97.20124,2020-04-08 14:49:58
96.742026,2020-04-08 14:50:21
98.031145,2020-04-08 14:50:24
97.865164,2020-04-08 14:50:24
98.396303,2020-04-08 14:50:27
95.591224,2020-04-08 14:50:28
98.396303,2020-04-08 14:49:33
98.794658,2020-04-08 14:49:36
98.518023,2020-04-08 14:49:41
95.729542,2020-04-08 14:49:42
97.843033,2020-04-08 14:49:42
96.371335,2020-04-08 14:49:44
95.176272,2020-04-08 14:49:45
99.281535,2020-04-08 14:49:45
96.293877,2020-04-08 14:49:46
99.403255,2020-04-08 14:49:46
96.23855,2020-04-08 14:49:47
99.281535,2020-04-08 14:49:48
97.975818,2020-04-08 14:49:49
96.166625,2020-04-08 14:49:49
96.089167,2020-04-08 14:49:50
95.176272,2020-04-08 14:49:50
99.76288,2020-04-08 14:49:51
95.823598,2020-04-08 14:49:51
96.398998,2020-04-08 14:49:56
98.744863,2020-04-08 14:49:58
96.338139,2020-04-08 14:50:01
97.809837,2020-04-08 14:50:03
99.370058,2020-04-08 14:50:04
99.226208,2020-04-08 14:50:21
95.884457,2020-04-08 14:50:21
99.502843,2020-04-08 14:50:23
98.025612,2020-04-08 14:50:24
97.223371,2020-04-08 14:50:25
97.638323,2020-04-08 14:50:27
95.773803,2020-04-08 14:50:28
91.048878,2020-04-08 14:50:29
94.545544,2020-04-08 14:50:29
91.834521,2020-04-08 14:50:30
94.540011,2020-04-08 14:50:31
99.453049,2020-04-08 14:50:32
97.350623,2020-04-08 14:50:32
98.30778,2020-04-08 14:50:36
95.591224,2020-04-08 14:49:50
99.12662,2020-04-08 14:49:51
95.552495,2020-04-08 14:49:51
99.70202,2020-04-08 14:49:54
98.136266,2020-04-08 14:49:58
97.522137,2020-04-08 14:50:03
125.644851,2020-04-08 14:50:06
99.613497,2020-04-08 14:50:20
97.892827,2020-04-08 14:50:24
97.737912,2020-04-08 14:50:25
97.981351,2020-04-08 14:50:27
91.209326,2020-04-08 14:50:29
95.524832,2020-04-08 14:50:29
95.320122,2020-04-08 14:50:30
91.541288,2020-04-08 14:50:31
98.667405,2020-04-08 14:50:31
99.331329,2020-04-08 14:50:32
97.931556,2020-04-08 14:50:32
98.125201,2020-04-08 14:50:35
98.700602,2020-04-08 14:50:38
98.379705,2020-04-08 14:50:39
97.555333,2020-04-08 14:50:42
96.481989,2020-04-08 14:50:43
99.309199,2020-04-08 14:50:46
96.520718,2020-04-08 14:50:48
98.518023,2020-04-08 14:50:49
98.518023,2020-04-08 14:51:19
97.046324,2020-04-08 14:51:20
96.376868,2020-04-08 14:51:21
97.013128,2020-04-08 14:51:23
96.974399,2020-04-08 14:51:24
96.542849,2020-04-08 14:51:24
97.61066,2020-04-08 14:51:25
99.464114,2020-04-08 14:51:27
99.690955,2020-04-08 14:51:28
100.177833,2020-04-08 14:51:33
99.530507,2020-04-08 14:51:45
99.502843,2020-04-08 14:49:51
96.44326,2020-04-08 14:49:52
96.288344,2020-04-08 14:49:53
96.166625,2020-04-08 14:49:56
96.924605,2020-04-08 14:49:58
96.244083,2020-04-08 14:50:01
99.071293,2020-04-08 14:50:03
99.890132,2020-04-08 14:50:19
98.064341,2020-04-08 14:50:21
100.565122,2020-04-08 14:50:21
98.761461,2020-04-08 14:50:23
98.025612,2020-04-08 14:50:24
94.916235,2020-04-08 14:50:25
97.533202,2020-04-08 14:50:28
95.801467,2020-04-08 14:50:28
92.880201,2020-04-08 14:50:29
93.887153,2020-04-08 14:50:29
93.61605,2020-04-08 14:50:30
95.945317,2020-04-08 14:50:31
99.137685,2020-04-08 14:50:32
98.16393,2020-04-08 14:50:32
97.311894,2020-04-08 14:50:35
98.39077,2020-04-08 14:50:36
97.953687,2020-04-08 14:50:37
97.007595,2020-04-08 14:50:39
97.212305,2020-04-08 14:50:42
97.28423,2020-04-08 14:50:43
96.376868,2020-04-08 14:50:52
96.99653,2020-04-08 14:50:53
98.418434,2020-04-08 14:50:55
96.470924,2020-04-08 14:51:19
96.288344,2020-04-08 14:51:20
96.509652,2020-04-08 14:51:22
97.89836,2020-04-08 14:51:23
96.166625,2020-04-08 14:51:23
96.802886,2020-04-08 14:51:24
98.506957,2020-04-08 14:51:29
97.981351,2020-04-08 14:50:21
97.914958,2020-04-08 14:50:24
99.995253,2020-04-08 14:50:25
99.740749,2020-04-08 14:50:27
94.993693,2020-04-08 14:50:28
93.051715,2020-04-08 14:50:28
93.234294,2020-04-08 14:50:29
95.187337,2020-04-08 14:50:29
91.093139,2020-04-08 14:50:30
91.425101,2020-04-08 14:50:31
96.99653,2020-04-08 14:50:31
98.866583,2020-04-08 14:50:32
98.589948,2020-04-08 14:50:35
98.335443,2020-04-08 14:50:36
97.760043,2020-04-08 14:50:37
97.660454,2020-04-08 14:50:38
96.968867,2020-04-08 14:50:39
97.090586,2020-04-08 14:50:42
96.747559,2020-04-08 14:50:42
98.202659,2020-04-08 14:50:46
97.582996,2020-04-08 14:50:48
96.371335,2020-04-08 14:50:53
96.70883,2020-04-08 14:51:20
97.007595,2020-04-08 14:51:22
97.300829,2020-04-08 14:51:23
96.210887,2020-04-08 14:51:23
96.576045,2020-04-08 14:51:24
99.110021,2020-04-08 14:51:33
99.480712,2020-04-08 14:51:38
98.224789,2020-04-08 14:51:44
98.822321,2020-04-08 14:51:45
96.393466,2020-04-08 14:51:46
98.650807,2020-04-08 14:51:47
96.924605,2020-04-08 14:51:48
99.198545,2020-04-08 14:51:48
96.061504,2020-04-08 14:51:49
93.59392,2020-04-08 14:51:50
92.376726,2020-04-08 14:50:29
99.917796,2020-04-08 14:50:29
93.610518,2020-04-08 14:50:30
91.071008,2020-04-08 14:50:31
97.937089,2020-04-08 14:50:31
99.785011,2020-04-08 14:50:32
97.870697,2020-04-08 14:50:34
97.843033,2020-04-08 14:50:35
98.263518,2020-04-08 14:50:36
96.99653,2020-04-08 14:50:38
97.422548,2020-04-08 14:50:39
96.863745,2020-04-08 14:50:42
96.609241,2020-04-08 14:50:42
98.374172,2020-04-08 14:50:46
97.881762,2020-04-08 14:50:49
98.446097,2020-04-08 14:50:49
98.92191,2020-04-08 14:50:51
96.742026,2020-04-08 14:50:53
99.851403,2020-04-08 14:50:55
99.143218,2020-04-08 14:51:19
96.902474,2020-04-08 14:51:20
97.007595,2020-04-08 14:51:20
96.454325,2020-04-08 14:51:22
96.365802,2020-04-08 14:51:23
96.387933,2020-04-08 14:51:24
96.354737,2020-04-08 14:51:24
96.758624,2020-04-08 14:51:25
99.132152,2020-04-08 14:51:27
98.827854,2020-04-08 14:51:31
99.137685,2020-04-08 14:51:33
99.486245,2020-04-08 14:51:33
99.198545,2020-04-08 14:51:38
97.997949,2020-04-08 14:51:44
98.285649,2020-04-08 14:51:45
96.321541,2020-04-08 14:51:46
95.154141,2020-04-08 14:51:46
98.92191,2020-04-08 14:51:47
98.523555,2020-04-08 14:50:39
98.064341,2020-04-08 14:50:40
97.433613,2020-04-08 14:50:42
96.288344,2020-04-08 14:50:43
100.399141,2020-04-08 14:50:46
98.412901,2020-04-08 14:50:55
124.494049,2020-04-08 14:51:06
96.841614,2020-04-08 14:51:19
96.692232,2020-04-08 14:51:20
97.300829,2020-04-08 14:51:22
99.630095,2020-04-08 14:51:23
96.885876,2020-04-08 14:51:24
98.208191,2020-04-08 14:51:25
99.829272,2020-04-08 14:51:28
97.89836,2020-04-08 14:51:29
99.973123,2020-04-08 14:51:32
99.674357,2020-04-08 14:51:45
98.86105,2020-04-08 14:51:46
98.003481,2020-04-08 14:51:46
97.439146,2020-04-08 14:51:47
94.396161,2020-04-08 14:51:48
98.755929,2020-04-08 14:51:49
93.815228,2020-04-08 14:51:49
93.228761,2020-04-08 14:51:50
93.046182,2020-04-08 14:51:51
97.455744,2020-04-08 14:51:52
100.039515,2020-04-08 14:51:52
97.81537,2020-04-08 14:51:53
98.695069,2020-04-08 14:52:07
98.506957,2020-04-08 14:52:12
96.15556,2020-04-08 14:52:20
96.592643,2020-04-08 14:52:20
96.150027,2020-04-08 14:52:21
99.646693,2020-04-08 14:52:22
96.061504,2020-04-08 14:52:23
100.094842,2020-04-08 14:52:23
99.845871,2020-04-08 14:52:30
99.801609,2020-04-08 14:51:32
99.779478,2020-04-08 14:51:37
99.779478,2020-04-08 14:51:44
99.453049,2020-04-08 14:51:45
98.064341,2020-04-08 14:51:46
98.036678,2020-04-08 14:51:47
96.321541,2020-04-08 14:51:47
96.742026,2020-04-08 14:51:48
94.075264,2020-04-08 14:51:48
98.518023,2020-04-08 14:51:49
93.560723,2020-04-08 14:51:50
94.551077,2020-04-08 14:51:50
92.819342,2020-04-08 14:51:51
97.804304,2020-04-08 14:51:52
96.487522,2020-04-08 14:51:52
98.468228,2020-04-08 14:52:07
98.484826,2020-04-08 14:52:12
96.105765,2020-04-08 14:52:20
