date,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
20/06/2020 20:10,6854,31.45355796,31.45355796,31.45355796,0,0,0,0,0
20/06/2020 20:15,6855,31.08964913,31.08964913,31.08964913,0,0,0,0,0
20/06/2020 20:20,6856,30.72574031,30.72574031,30.72574031,0,0,0,0,0
20/06/2020 20:25,6857,30.36183148,30.36183148,30.36183148,0,0,0,0,0
20/06/2020 20:30,6858,29.99792266,29.99792266,29.99792266,0,0,0,0,0
20/06/2020 20:35,6859,29.63401383,29.63401383,29.63401383,0,0,0,0,0
20/06/2020 20:40,6860,29.270105,29.270105,29.270105,0,0,0,0,0
20/06/2020 20:45,6861,28.90619618,28.90619618,28.90619618,0,0,0,0,0
20/06/2020 20:50,6862,28.54228735,28.54228735,28.54228735,0,0,0,0,0
20/06/2020 20:55,6863,28.17837853,28.17837853,28.17837853,0,0,0,0,0
20/06/2020 21:00,6864,27.8144697,27.8144697,27.8144697,0,0,0,0,0
20/06/2020 21:05,6865,27.53839598,27.53839598,27.53839598,0,0,0,0,0
20/06/2020 21:10,6866,27.26232226,27.26232226,27.26232226,0,0,0,0,0
20/06/2020 21:15,6867,26.98624854,26.98624854,26.98624854,0,0,0,0,0
20/06/2020 21:20,6868,26.71017482,26.71017482,26.71017482,0,0,0,0,0
20/06/2020 21:25,6869,26.4341011,26.4341011,26.4341011,0,0,0,0,0
20/06/2020 21:30,6870,26.15802738,26.15802738,26.15802738,0,0,0,0,0
20/06/2020 21:35,6871,25.88195366,25.88195366,25.88195366,0,0,0,0,0
20/06/2020 21:40,6872,25.60587993,25.60587993,25.60587993,0,0,0,0,0
20/06/2020 21:45,6873,25.32980621,25.32980621,25.32980621,0,0,0,0,0
20/06/2020 21:50,6874,25.05373249,25.05373249,25.05373249,0,0,0,0,0
20/06/2020 21:55,6875,24.77765877,24.77765877,24.77765877,0,0,0,0,0
20/06/2020 22:00,6876,24.10974121,24.10974121,24.10974121,0,0,0,0,0
20/06/2020 22:05,6877,24.09005333,24.09005333,24.09005333,0,0,0,0,0
20/06/2020 22:10,6878,24.07036544,24.07036544,24.07036544,0,0,0,0,0
20/06/2020 22:15,6879,24.05067755,24.05067755,24.05067755,0,0,0,0,0
20/06/2020 22:20,6880,24.03098967,24.03098967,24.03098967,0,0,0,0,0
20/06/2020 22:25,6881,24.01130178,24.01130178,24.01130178,0,0,0,0,0
20/06/2020 22:30,6882,23.9916139,23.9916139,23.9916139,0,0,0,0,0
20/06/2020 22:35,6883,23.97192601,23.97192601,23.97192601,0,0,0,0,0
20/06/2020 22:40,6884,23.95223812,23.95223812,23.95223812,0,0,0,0,0
