deviceid,floatvalue_saliencyscore,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CakebreadId_0128,955.1673834154271,799.4923616613976,810.7308078195975,61.09831233200823,2.8107190925462633,46,01/31/2020 01:49,
CakebreadId_0128,998.4440991955045,804.7893150033485,985.9813957931568,60.41602757746024,3.465684109896869,39,01/31/2020 01:51,
CakebreadId_0128,952.7553936317379,776.5890787360513,1035.6330891885145,56.424261786283296,3.18435350698741,46,01/31/2020 01:52,
CakebreadId_0128,954.7020527016538,809.0717907119822,988.7468822163821,51.95106366521736,3.030109086363081,38,01/31/2020 01:54,
CakebreadId_0128,983.0030319709996,800.6412582520286,1025.8645764602213,48.20605261297125,3.1898785459771184,41,01/31/2020 01:54,
CakebreadId_0128,931.0452108894605,799.6359679823491,1014.4485693380384,44.99222738080591,3.1802271048570763,46,01/31/2020 01:55,
CakebreadId_0128,818.4464940114817,831.7504189874081,812.6810555266424,43.45674504536887,2.3727909648210055,40,01/31/2020 01:56,
CakebreadId_0128,815.9528823746658,812.0493467362858,701.629817234833,46.74407135466405,2.406771051962326,38,01/31/2020 01:56,
CakebreadId_0128,769.6574661833472,780.8554496838722,722.619491195561,56.33393247502812,2.435104195463436,42,01/31/2020 01:57,
CakebreadId_0128,646.1389311977944,754.3546881732292,620.2109493072467,69.28047773562487,1.8992528723882383,45,01/31/2020 01:57,
CakebreadId_0128,530.2936442639276,727.3495891421354,473.0670109439279,78.93091748746954,1.434544435086065,47,01/31/2020 01:57,
CakebreadId_0128,525.0867848935502,728.4047735857522,474.77081162785584,79.51021816154882,1.617859785451554,46,01/31/2020 01:57,
CakebreadId_0128,590.2448381141633,708.9586425220797,532.888105113218,72.05841658676674,1.8060822584182241,43,01/31/2020 01:58,
CakebreadId_0128,546.899037978852,701.4634935173431,444.10887068719364,63.496704349869304,1.2252139581840422,44,01/31/2020 01:58,
CakebreadId_0128,561.2473909300411,727.3487286692089,451.6524141524731,59.64575880193689,1.4249844994104655,39,01/31/2020 01:59,
CakebreadId_0128,578.8061172348558,784.0866361661889,441.1404480518172,60.12959200887777,1.4374442689498994,42,01/31/2020 01:59,
CakebreadId_0128,627.362798904247,757.8111960529432,468.8598504240262,59.67985230927684,1.6034667976971204,47,01/31/2020 02:00,
CakebreadId_0128,718.4861151467675,731.5680190371643,577.3988546666121,54.69169032493127,2.0656108765121854,44,01/31/2020 02:01,
CakebreadId_0128,762.0562655141639,666.610633061091,661.5999238753308,47.03508488282385,2.0949980625228837,41,01/31/2020 02:01,
CakebreadId_0128,781.3357934824476,610.7028615455793,642.7843866220869,40.82042531822643,1.8292815295842206,37,01/31/2020 02:02,
CakebreadId_0128,749.0598501472507,607.1749531630672,579.7299501657894,37.55712716488806,1.7279372073064898,41,01/31/2020 02:02,
CakebreadId_0128,665.9994609345229,587.3367791556146,551.1672467208172,35.14323119016532,1.8244564265629466,46,01/31/2020 02:03,
CakebreadId_0128,626.9836561814503,655.1726094334728,562.9866927556553,31.810168281201854,2.0003334833944444,39,01/31/2020 02:04,
CakebreadId_0128,699.9740639712795,733.9828645753856,619.4699644229097,30.40928825682656,2.1825391812828543,38,01/31/2020 02:05,
CakebreadId_0128,777.7103233069877,748.1416995728131,811.477074910757,35.43926352277483,2.6165855947107315,39,01/31/2020 02:05,
CakebreadId_0128,851.2379381025577,767.4318356489716,910.3817283705097,46.1609291785385,2.5225380779739752,42,01/31/2020 02:05,
CakebreadId_0128,866.7003193369646,727.1758482651015,848.1421506691614,56.13145186702316,2.477127735471788,45,01/31/2020 02:05,
CakebreadId_0128,801.5833103592772,693.0776574100955,715.2983970326612,60.059784120345924,2.2289872225960607,47,01/31/2020 02:05,
CakebreadId_0128,726.1680852721045,730.255322079986,657.7449519879714,59.25439081468916,2.0550698821204882,40,01/31/2020 02:07,
CakebreadId_0128,659.7553666685226,666.1378923922298,475.28510969122055,58.61013255037954,1.6770636689043774,38,01/31/2020 02:07,
CakebreadId_0128,829.0417584399455,671.9533112968455,653.041905378597,60.06120155077738,2.467887201343151,45,01/31/2020 02:08,
CakebreadId_0128,926.8187089832128,623.8251093918827,800.8240336273849,61.341932031079,2.597422062694863,46,01/31/2020 02:08,
CakebreadId_0128,928.8564679489118,676.8647297861407,793.4709430095954,59.68273703852285,2.3400761123613596,43,01/31/2020 02:08,
CakebreadId_0128,943.0021329666894,752.6233152161541,790.8460241122567,55.4969178438146,2.2208244749480572,42,01/31/2020 02:09,
CakebreadId_0128,899.5529020489395,768.0191290719843,720.563480063865,52.63363450472949,2.2658517342030184,38,01/31/2020 02:09,
CakebreadId_0128,788.2451938560808,707.4834484639331,633.065982523217,54.109084983101795,2.048700071433455,46,01/31/2020 02:10,
CakebreadId_0128,757.313752297768,729.7809155991855,568.3639122078584,58.47946998582516,1.9919733527150347,39,01/31/2020 02:12,
CakebreadId_0128,694.1732011590435,702.0195572204228,529.7341950436828,61.68249505108402,1.707479661403093,44,01/31/2020 02:13,
CakebreadId_0128,688.3843863832303,705.2527984794434,617.7090502539119,60.55498148757844,1.8346577049368107,46,01/31/2020 02:13,
CakebreadId_0128,684.2339384993649,682.9329620593544,655.7869459174901,54.518296307202284,1.9503016150162065,42,01/31/2020 02:14,
CakebreadId_0128,716.0561744963002,696.4431917167553,673.4138086103219,46.25894024839881,2.2286684924256748,41,01/31/2020 02:14,
CakebreadId_0128,638.3397784585525,722.555992293319,638.2110336297004,40.74649642661947,1.9738601368875568,42,01/31/2020 02:14,
CakebreadId_0128,471.9230094455386,672.10503250504,500.8543008827389,42.098917727653756,1.4512448094258112,39,01/31/2020 02:15,
CakebreadId_0128,382.0573726705858,630.3361181119174,335.945516154628,50.05865335017794,1.0956782978599908,40,01/31/2020 02:15,
CakebreadId_0128,350.31721539527985,631.4373204572875,332.1642019729783,59.63659612168628,1.2654219612100432,46,01/31/2020 02:16,
CakebreadId_0128,410.89723376492475,645.611868364167,382.01825260582035,64.56881245224517,1.5269796661443835,45,01/31/2020 02:16,
CakebreadId_0128,502.7796419858414,548.3832547050539,552.3114633381747,61.93954094916869,2.014249850545677,43,01/31/2020 02:16,
CakebreadId_0128,563.0908376618306,536.8019389396004,679.4032759232149,54.88340942100976,1.765551457330066,44,01/31/2020 02:17,
CakebreadId_0128,601.5567647839638,606.9614918887254,610.9493287395554,49.90143308598114,1.627888669544013,40,01/31/2020 02:18,
CakebreadId_0128,589.5356970033934,630.7871668261266,496.9339890127876,50.55303464799496,1.5497674198850673,38,01/31/2020 02:18,
CakebreadId_0128,552.8952728314777,669.8666566487886,494.4725432816439,54.27779368939819,1.8097618992386086,45,01/31/2020 02:18,
CakebreadId_0128,558.3729940715202,633.1178053563592,437.47444692819766,55.46733355949129,1.6481991635359738,46,01/31/2020 02:19,
CakebreadId_0128,693.8676804779492,567.7247913355111,652.0995159362676,51.56687666631828,2.4236797644737123,41,01/31/2020 02:20,
CakebreadId_0128,716.1159583235128,569.2730250709538,734.4830221770245,45.50416599330418,1.9775507559570853,42,01/31/2020 02:20,
