SPEED,TEMPERATURE,HEAD,DEVICE_ID,PUMP_MODE,FLOW,WARN,KW_HOUR,VOLTAGE,ALARM,POWER,CURRENT,TIMESTAMP,DEVICETYPE,DEVICEID,LOGICALINTERFACE_ID,EVENTTYPE,FORMAT,RCV_TIMESTAMP_UTC,UPDATED_UTC
1054,53.7,48.41,04714B601096,a,21.329,0,3631.888,251,0,1.604,7.24,3162345570,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,16:26.5,16:26.5
1054,53,48.395,04714B601096,a,17.59,0,3632.02,251,0,1.574,7.16,3162345870,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,21:26.7,21:26.7
1055,52.6,48.511,04714B601096,a,24.104,0,3632.152,251,0,1.614,7.22,3162346170,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,26:26.9,26:26.9
1059,52.8,48.907,04714B601096,a,35.977,0,3632.292,253,0,1.708,7.34,3162346470,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,31:27.1,31:27.1
1056,52.9,48.616,04714B601096,a,28.879,0,3632.435,252,0,1.654,7.29,3162346771,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,36:27.3,36:27.3
1053,52.5,48.301,04714B601096,a,16.969,0,3632.568,251,0,1.578,7.17,3162347071,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,41:27.5,41:27.5
1053,53.1,48.293,04714B601096,a,15.17,0,3632.699,251,0,1.554,7.12,3162347371,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,46:27.8,46:27.8
1052,53.4,48.163,04714B601096,a,7.335,0,3632.825,250,0,1.494,7.08,3162347671,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,51:28.0,51:28.0
1057,52.4,48.664,04714B601096,a,29.66,0,3632.958,252,0,1.666,7.29,3162347971,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,56:28.2,56:28.2
1057,53,48.712,04714B601096,a,30.512,0,3633.097,252,0,1.67,7.31,3162348272,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,01:28.4,01:28.4
1058,52.2,48.809,04714B601096,a,32.805,0,3633.235,252,0,1.692,7.33,3162348572,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,06:28.6,06:28.6
